Trend,Seasonality,Autocorrelation,Stationarity,Heteroscedasticity,Residual Patterns,Outliers,Non-Linearity,Periodicity,Magnitude of Fluctuations,Time Series Length,Historical Behavior,Model Complexity,Data Size and Availability,best_model
3,3,1.0,2,True,True,0,Non-Linear,Yes,54.295794593056314,207,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,89.98693690666211,345,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,69.92637036750496,269,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,55.24907419296276,211,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,103.71295227913468,398,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,50.54964342730734,193,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,118.67351979418275,455,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,79.93714539261319,307,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,122.51144112443562,473,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,47.862407181207566,183,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,126.42748057270181,487,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,60.3947706697237,232,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,106.55481440710624,409,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,30.9072170980512,119,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,92.55796435941687,357,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,122.18221761849783,471,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,102.22432203345602,393,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,80.61744174121954,310,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,81.6804310512149,315,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,31.493018257438454,120,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,58.18488122002632,222,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,78.35131486295784,301,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,60.471356189184746,233,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,129.5410281797479,499,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,112.13250142863971,431,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,128.49116737279078,493,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,111.25773226030886,426,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,129.23778483758394,496,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,52.74211996328094,202,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,110.23678599690365,424,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,97.62766526336819,376,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,59.51744738099887,231,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,75.33832068820357,289,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,61.60626644416717,235,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,26.274231337058563,100,3,2,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,71.24509484161041,273,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,71.82664316526828,276,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,41.66468033051229,157,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,66.58121315308637,256,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,32.466888762499146,125,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,55.10346285502568,211,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,65.8992253700492,254,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,115.00563198431163,441,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,81.94610566832728,314,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,101.96127236793805,391,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,71.8487105081398,277,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,79.09035136945775,305,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,51.956560802402315,199,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,30.929597946960047,118,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,37.673244363786466,144,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,57.27779651918802,219,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,104.27350589895927,402,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,32.466845188150344,120,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,110.2493290298821,423,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,109.5555286070033,419,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,40.952074967651654,154,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,112.64353505269183,434,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,54.51450320985816,207,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,97.11278932235588,375,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,64.26433744309102,246,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,116.11599852198351,447,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,91.11134018195729,348,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,67.2934760783319,261,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,81.88777214784615,315,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,76.46949802453324,297,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,115.41008622661877,443,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,70.92397040780784,275,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,110.08936886061343,423,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,59.9992791498406,231,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,47.33046971317099,182,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,89.20898358047874,341,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,119.96909420218392,462,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,64.1756229106947,248,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,112.69496823405503,433,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,101.14615317932503,388,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,100.88345703763862,386,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,116.50750938513146,447,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,72.71805254752056,278,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,58.13594505730674,222,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,116.32352618698285,447,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,74.8149510567369,287,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,103.40063956008528,397,3,3,2,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,47.96739370015169,184,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,50.676416081032826,190,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,37.49132305492042,142,3,3,1,arima
3,3,1.0,2,True,True,0,Non-Linear,Yes,59.86976355793661,229,3,3,2,arima
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.134662214617645,272,2,3,2,lstm
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.745792761770554,137,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.139703344427021,268,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.100018873636849,462,2,3,2,lstm
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.351057911433708,222,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.125815457182998,455,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.051223486988722,494,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.414058171239203,275,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.08404968448045,440,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.868722369811508,482,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.783912852800379,365,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.458890218415469,291,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.160121357227062,431,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.016341671607202,438,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.572330677664262,207,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.923915678732996,345,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.648950173522849,269,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.257071140069778,211,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.596947759238832,398,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.77592860448819,193,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.96712566144405,455,2,3,2,lstm
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.62130521690087,307,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.499888890691668,473,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.506622362867656,183,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.013775250561892,487,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.899196521219048,232,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.896135151727293,409,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.038439061060739,119,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.171865982226638,357,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.268026517484175,471,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.106147291232624,393,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.957541791931146,310,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.839384999099755,315,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,13.628395057174641,120,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.856577920091745,222,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.07353862283619,301,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.758638607719272,233,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.644427483677548,499,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.171440181233283,431,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.773971882412052,493,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.312576685646796,426,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.217572826206387,496,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.022561956036288,202,2,3,2,lstm
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.475774087900522,424,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.086426473161254,376,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.013242617562257,231,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.992470623909218,289,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.453855669665167,235,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.438679160699133,100,2,2,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.595657424538228,273,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.748129972183326,276,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,13.969252035219089,157,2,3,1,lstm
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.885402854870135,256,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.212176648818156,125,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.2321745601802,211,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.989351561014024,254,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.123466450570278,441,2,3,2,lstm
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.166408423883215,314,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.570856424489119,391,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.480467269080966,277,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.779827650092942,305,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.775915846690785,199,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.822196715461919,118,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.181379991471664,144,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.828606380927646,219,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.082939239379147,402,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,13.938025695289793,120,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.76393559642575,423,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.756957092416634,419,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.931012564338307,154,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.67387398447988,434,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.554913062878708,207,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.101646188131514,375,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.713084453711723,246,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.875194155431409,447,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.759311297461798,348,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.080797725803812,261,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.055725687327461,315,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.142836684579734,297,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.114005096551038,443,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.36477881636611,275,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.089830846093864,423,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.71420182696656,231,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.031931568089052,182,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.118310987381552,341,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.095056601419495,462,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.856143413611953,248,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.013207220479154,433,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.90570092451067,388,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.510252150565615,386,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.825419457126003,447,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.88562808164967,278,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.075876096092594,222,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.190631312474977,447,2,3,2,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.21650882039621,287,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.984060708424913,397,2,3,2,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.337728257834565,184,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.500862729796301,190,2,3,1,lstm
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.536856230595202,142,2,3,1,lstm
1,3,1.0,1,True,False,0,Non-Linear,Yes,15.261634484581592,229,2,3,2,lstm
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.75439621773953,272,2,3,2,prophetModel
3,3,1.0,1,True,False,0,Non-Linear,Yes,16.188832059949792,137,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.050560593171578,268,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.642119861506785,462,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.952087801212778,222,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.040756706585153,455,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.632168355596024,494,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.108083745347558,275,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.834901937668661,440,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.061861828428803,482,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.104261434440392,365,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.38717443695497,291,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.821858385105836,431,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.124294068781923,438,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.500283533970679,207,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.84294733237427,345,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.494184396622892,269,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.659834201950789,211,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.790521954251329,398,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.678519654380127,193,2,3,1,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.174060082581251,455,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.661373815919,307,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.220217294586577,473,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.333853912376439,183,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.697819427537627,487,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.435014732126824,232,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.781717428314641,409,2,3,2,prophetModel
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.735650897031329,119,2,3,1,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.717725892466738,357,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.206867324063456,471,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.358783467722738,393,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.151392671375127,310,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.410880001249419,315,2,3,2,prophetModel
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.74811571831375,120,2,3,1,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.09199899178424,222,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.248780116130966,301,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.129730403198371,233,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.195586899539197,499,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.90263157340345,431,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.954856048915468,493,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.329787885199186,426,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.828199570736295,496,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.73984971113879,202,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.313170482272637,424,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.828787932401934,376,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.562608788902681,231,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.815651756628684,289,2,3,2,prophetModel
3,3,1.0,1,True,False,0,Non-Linear,Yes,14.866474795239343,235,2,3,2,prophetModel
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.138170454244744,100,2,2,1,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.72387997412729,273,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.208132472692007,276,2,3,2,prophetModel
3,3,1.0,1,True,False,0,Non-Linear,Yes,15.327862906599478,157,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.986585742651847,256,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.703425886892227,125,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.046984271460325,211,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.038527278975476,254,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,14.692059404083732,441,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.294970737099948,314,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.059797281248812,391,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.984778312703911,277,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.82980398559002,305,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.239335117611354,199,2,3,1,prophetModel
1,3,1.0,1,True,False,0,Non-Linear,Yes,14.869674810338239,118,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.341085758223386,144,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.638226609792675,219,2,3,2,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,14.71275983814173,402,2,3,2,prophetModel
1,3,1.0,2,True,False,0,Non-Linear,Yes,14.357717069305435,120,2,3,1,prophetModel
3,3,1.0,1,True,True,0,Non-Linear,Yes,15.043367730011562,423,2,3,2,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.261308622749517,419,2,3,2,prophetModel
1,3,1.0,2,True,True,0,Non-Linear,Yes,14.789339842766159,154,2,3,1,prophetModel
1,3,1.0,1,True,True,0,Non-Linear,Yes,15.391375526676264,434,2,3,2,prophetModel
3,3,1.0,2,True,False,0,Non-Linear,Yes,14.713376375790698,207,2,3,2,prophetModel
